1,incidencia_1,2024-01-26 00:00:00,En proceso,16
2,incidencia_2,2024-11-13 23:00:00,Cerrada,24
3,incidencia_3,2024-03-10 22:00:00,Cerrada,20
4,incidencia_4,2024-05-09 01:00:00,Resuelta,11
5,incidencia_5,2024-07-12 06:00:00,Nueva,17
6,incidencia_6,2024-06-29 00:00:00,En proceso,12
7,incidencia_7,2024-04-06 07:00:00,Nueva,8
8,incidencia_8,2024-02-04 19:00:00,Abierta,5
9,incidencia_9,2024-02-10 14:00:00,Abierta,40
10,incidencia_10,2024-07-26 15:00:00,Nueva,31
11,incidencia_11,2024-09-21 02:00:00,En proceso,9
12,incidencia_12,2024-07-15 13:00:00,En proceso,14
13,incidencia_13,2024-10-23 22:00:00,En proceso,28
14,incidencia_14,2024-06-25 06:00:00,En proceso,23
15,incidencia_15,2024-01-21 13:00:00,Cerrada,35
16,incidencia_16,2024-12-19 03:00:00,Nueva,35
17,incidencia_17,2024-10-08 22:00:00,Cerrada,1
18,incidencia_18,2024-09-27 18:00:00,Abierta,21
19,incidencia_19,2024-02-01 00:00:00,Abierta,36
20,incidencia_20,2024-05-25 20:00:00,Abierta,16
21,incidencia_21,2024-04-22 23:00:00,Nueva,13
22,incidencia_22,2024-02-29 05:00:00,Abierta,11
23,incidencia_23,2024-10-04 04:00:00,Cerrada,38
24,incidencia_24,2024-11-26 20:00:00,Nueva,1
25,incidencia_25,2024-05-27 11:00:00,Abierta,35
26,incidencia_26,2024-11-19 05:00:00,En proceso,11
27,incidencia_27,2024-10-10 17:00:00,En proceso,5
28,incidencia_28,2024-09-25 01:00:00,Cerrada,30
29,incidencia_29,2024-05-10 17:00:00,Resuelta,10
30,incidencia_30,2024-02-26 05:00:00,Abierta,25
31,incidencia_31,2024-12-29 09:00:00,Cerrada,8
32,incidencia_32,2024-11-08 06:00:00,Abierta,33
33,incidencia_33,2024-04-11 21:00:00,Abierta,11
34,incidencia_34,2024-05-04 07:00:00,Resuelta,29
35,incidencia_35,2024-03-04 21:00:00,Nueva,31
36,incidencia_36,2024-12-13 02:00:00,Abierta,10
37,incidencia_37,2024-02-11 05:00:00,Resuelta,20
38,incidencia_38,2024-06-07 01:00:00,Cerrada,6
39,incidencia_39,2024-03-08 17:00:00,Nueva,18
40,incidencia_40,2024-06-05 22:00:00,En proceso,4
