1,0001BBB,marca_316,modelo_14,Negro,4
2,0002BBB,marca_386,modelo_20,Rojo,29
3,0003BBB,marca_430,modelo_18,Gris,9
4,0004BBB,marca_111,modelo_19,Azul,8
5,0005BBB,marca_82,modelo_6,Verde,1
6,0006BBB,marca_341,modelo_14,Blanco,30
7,0007BBB,marca_196,modelo_10,Blanco,26
8,0008BBB,marca_160,modelo_10,Amarillo,8
9,0009BBB,marca_114,modelo_20,Rojo,13
10,0010BBB,marca_36,modelo_17,Rojo,13
11,0011BBB,marca_115,modelo_6,Amarillo,20
12,0012BBB,marca_159,modelo_3,Gris,21
13,0013BBB,marca_322,modelo_2,Blanco,8
14,0014BBB,marca_474,modelo_6,Blanco,15
15,0015BBB,marca_382,modelo_15,Verde,26
16,0016BBB,marca_230,modelo_13,Rojo,25
17,0017BBB,marca_358,modelo_14,Gris,28
18,0018BBB,marca_62,modelo_6,Negro,27
19,0019BBB,marca_356,modelo_10,Amarillo,13
20,0020BBB,marca_117,modelo_16,Negro,26
21,0021BBB,marca_404,modelo_2,Blanco,29
22,0022BBB,marca_329,modelo_13,Rojo,11
23,0023BBB,marca_36,modelo_6,Azul,3
24,0024BBB,marca_348,modelo_6,Blanco,9
25,0025BBB,marca_164,modelo_2,Blanco,25
26,0026BBB,marca_327,modelo_13,Negro,29
27,0027BBB,marca_184,modelo_8,Verde,28
28,0028BBB,marca_456,modelo_18,Blanco,10
29,0029BBB,marca_223,modelo_8,Verde,2
30,0030BBB,marca_320,modelo_12,Azul,29
31,0031BBB,marca_267,modelo_17,Azul,11
32,0032BBB,marca_274,modelo_4,Blanco,12
33,0033BBB,marca_431,modelo_11,Amarillo,30
34,0034BBB,marca_29,modelo_16,Amarillo,20
35,0035BBB,marca_318,modelo_13,Amarillo,21
36,0036BBB,marca_430,modelo_7,Verde,23
37,0037BBB,marca_467,modelo_20,Rojo,3
38,0038BBB,marca_62,modelo_18,Gris,21
39,0039BBB,marca_156,modelo_12,Amarillo,10
40,0040BBB,marca_161,modelo_20,Gris,27
41,0041BBB,marca_363,modelo_1,Azul,5
42,0042BBB,marca_398,modelo_2,Azul,22
43,0043BBB,marca_293,modelo_11,Rojo,26
44,0044BBB,marca_450,modelo_15,Amarillo,10
45,0045BBB,marca_299,modelo_2,Rojo,21
46,0046BBB,marca_428,modelo_1,Amarillo,18
47,0047BBB,marca_272,modelo_15,Verde,7
48,0048BBB,marca_62,modelo_2,Azul,22
49,0049BBB,marca_441,modelo_17,Gris,16
50,0050BBB,marca_400,modelo_8,Verde,4
