101,2024-11-13 20:00:00,2024-11-17 14:00:00,114,101,127
102,2024-03-21 09:00:00,2024-03-28 06:00:00,108,116,127
103,2024-04-13 09:00:00,2024-04-22 01:00:00,115,117,110
104,2024-12-06 06:00:00,2024-12-08 11:00:00,127,122,120
105,2024-07-06 18:00:00,2024-07-07 13:00:00,104,140,117
106,2024-08-23 00:00:00,2024-08-30 22:00:00,131,126,105
107,2024-02-12 12:00:00,2024-02-13 11:00:00,114,132,127
108,2024-11-14 05:00:00,2024-11-23 10:00:00,121,133,119
109,2024-05-11 16:00:00,2024-05-15 17:00:00,126,136,126
110,2024-06-20 14:00:00,2024-06-29 01:00:00,129,122,104
111,2024-03-18 19:00:00,2024-03-22 11:00:00,107,107,126
112,2024-08-18 00:00:00,2024-08-21 20:00:00,118,102,117
113,2024-04-01 01:00:00,2024-04-06 01:00:00,116,138,121
114,2024-11-18 22:00:00,2024-11-21 17:00:00,119,134,106
115,2024-10-22 10:00:00,2024-10-25 14:00:00,117,120,120
116,2024-10-09 17:00:00,2024-10-13 12:00:00,119,121,106
117,2024-05-09 15:00:00,2024-05-14 06:00:00,122,106,104
118,2024-01-23 21:00:00,2024-01-24 00:00:00,143,131,128
119,2024-09-01 03:00:00,2024-09-08 00:00:00,112,123,115
120,2024-08-30 06:00:00,2024-09-03 12:00:00,143,137,128
121,2024-06-29 14:00:00,2024-07-07 23:00:00,143,120,128
122,2024-04-24 04:00:00,2024-04-26 14:00:00,143,129,128
123,2024-12-03 22:00:00,2024-12-04 03:00:00,135,132,120
124,2024-09-16 02:00:00,2024-09-25 08:00:00,129,105,104
125,2024-05-10 02:00:00,2024-05-13 09:00:00,107,101,126
126,2024-01-10 10:00:00,2024-01-18 23:00:00,133,130,125
127,2024-07-06 12:00:00,2024-07-14 11:00:00,128,137,123
128,2024-07-12 17:00:00,2024-07-21 13:00:00,122,117,104
129,2024-07-16 00:00:00,2024-07-22 21:00:00,104,129,117
130,2024-04-28 06:00:00,2024-05-06 09:00:00,112,110,115
131,2024-05-04 09:00:00,2024-05-09 09:00:00,128,127,123
132,2024-12-16 15:00:00,2024-12-21 19:00:00,120,122,108
133,2024-02-13 09:00:00,2024-02-13 12:00:00,123,117,102
134,2024-04-16 21:00:00,2024-04-25 01:00:00,118,130,117
135,2024-08-26 04:00:00,2024-09-01 13:00:00,148,114,117
136,2024-02-17 20:00:00,2024-02-27 00:00:00,116,104,121
137,2024-02-18 18:00:00,2024-02-23 22:00:00,129,112,104
138,2024-05-13 17:00:00,2024-05-15 10:00:00,142,133,111
139,2024-08-15 12:00:00,2024-08-24 00:00:00,143,138,128
140,2024-07-23 08:00:00,2024-07-26 09:00:00,111,110,124
