101,270.0,2024-11-11 09:00:00,Tarjeta de credito,101
102,495.0,2024-03-11 19:00:00,PayPal,102
103,624.0,2024-04-07 16:00:00,Bizum,103
104,159.0,2024-12-04 02:00:00,Tarjeta de credito,104
105,57.0,2024-07-01 00:00:00,Transferencia,105
106,570.0,2024-08-20 23:00:00,Tarjeta de debito,106
107,69.0,2024-02-02 10:00:00,PayPal,107
108,663.0,2024-11-08 16:00:00,PayPal,108
109,291.0,2024-05-07 09:00:00,Tarjeta de credito,109
110,609.0,2024-06-10 08:00:00,Efectivo,110
111,264.0,2024-03-17 02:00:00,Tarjeta de debito,111
112,276.0,2024-08-14 20:00:00,Tarjeta de debito,112
113,360.0,2024-03-22 14:00:00,Tarjeta de credito,113
114,201.0,2024-11-09 17:00:00,Efectivo,114
115,228.0,2024-10-20 18:00:00,Tarjeta de debito,115
116,273.0,2024-10-02 14:00:00,Tarjeta de credito,116
117,333.0,2024-04-29 01:00:00,Transferencia,117
118,9.0,2024-01-22 11:00:00,Bizum,118
119,495.0,2024-08-24 00:00:00,Tarjeta de debito,119
120,306.0,2024-08-28 17:00:00,Tarjeta de credito,120
121,603.0,2024-06-24 06:00:00,Tarjeta de credito,121
122,174.0,2024-04-14 05:00:00,Efectivo,122
123,15.0,2024-11-24 09:00:00,Bizum,123
124,666.0,2024-09-08 04:00:00,Tarjeta de credito,124
125,237.0,2024-05-05 21:00:00,Tarjeta de credito,125
126,615.0,2024-01-04 02:00:00,Bizum,126
127,573.0,2024-07-04 03:00:00,PayPal,127
128,636.0,2024-07-02 12:00:00,Transferencia,128
129,495.0,2024-07-14 20:00:00,Efectivo,129
130,585.0,2024-04-20 09:00:00,Tarjeta de debito,130
131,360.0,2024-04-28 08:00:00,Bizum,131
132,372.0,2024-12-07 23:00:00,Efectivo,132
133,9.0,2024-02-11 05:00:00,Transferencia,133
134,588.0,2024-04-08 18:00:00,PayPal,134
135,459.0,2024-08-23 23:00:00,PayPal,135
136,660.0,2024-02-16 02:00:00,Transferencia,136
137,372.0,2024-02-13 06:00:00,Bizum,137
138,123.0,2024-05-02 23:00:00,Efectivo,138
139,612.0,2024-08-08 11:00:00,Bizum,139
140,219.0,2024-07-17 23:00:00,Tarjeta de debito,140
